study	health status	component_1	component_2
Horstmann	healthy	-1.7039011767194652	0.529617029310085
Horstmann	healthy	0.1691270460734844	0.7141790793415231
Horstmann	healthy	-0.9131227059381476	1.0285060086954416
Horstmann	healthy	1.4725815827131499	0.9780870406537062
Horstmann	healthy	-0.267429018572897	0.8015546365813021
Horstmann	healthy	-2.9283544470532155	1.83167788354256
Horstmann	healthy	0.3268432455763632	1.53318850189858
Horstmann	healthy	-0.40496202789576696	-1.5794554521492121
Horstmann	healthy	0.16179312768055737	1.5599361021047051
Horstmann	healthy	-0.3698129116607326	0.5806064836258712
Horstmann	healthy	-0.7967855774419634	-0.16350781220613422
Horstmann	healthy	0.09104924124150461	0.42208666108565107
Horstmann	healthy	1.1321392193732533	1.898544164991329
Horstmann	healthy	-0.5135140988334129	0.3746646100209438
Horstmann	healthy	-0.29881892701644164	0.47762951339998394
Horstmann	healthy	1.315607451788433	0.7567958791162239
Horstmann	healthy	-2.784014998598153	1.9154445736023475
Horstmann	healthy	-0.4298017189448407	2.3290565815201387
Horstmann	healthy	-0.7195925374973273	0.8131623714946974
Horstmann	healthy	0.7338523563980238	1.7920421114058565
Horstmann	healthy	-0.628127776939225	-0.26186233014373783
Horstmann	healthy	-0.2207024992500743	1.9998089523079299
Horstmann	healthy	-0.277259851694928	1.242034127468249
Horstmann	healthy	0.19740850476944835	0.35082634321541417
Horstmann	healthy	1.195509150249965	-1.326978825478125
Horstmann	healthy	2.3662524837897596	1.5318824886027338
Horstmann	healthy	-0.3944231247852394	-0.9793030366611812
Horstmann	healthy	1.6403965374072065	1.5405851044699812
Horstmann	healthy	-0.8899994411364114	0.879224124944391
Horstmann	healthy	0.3130732611273685	1.3101346781989167
Horstmann	healthy	0.9493158514395115	-0.23948122437437475
Horstmann	healthy	-0.941765572220441	0.19023259755297925
Horstmann	healthy	1.2517778730275766	1.9407634102417277
Horstmann	healthy	-1.5194990245168458	2.9060777259991912
Horstmann	healthy	1.0880997981651075	-0.09889161744231924
Horstmann	healthy	-1.1319567915475466	0.8702610021056167
Horstmann	healthy	0.13785601187758362	0.519058485258881
Horstmann	healthy	-1.9095480129942075	2.465664695218704
Horstmann	healthy	-2.0382404579393083	1.0528365968803202
Horstmann	healthy	1.4972183334064062	0.9877551870584766
Horstmann	healthy	0.8480675006508915	-0.17368842071894222
Horstmann	healthy	-0.7672595602067872	-0.07318581466486976
Horstmann	healthy	0.30224588828884325	0.5342280521673134
Horstmann	healthy	-1.7307264468276604	0.733408040563461
Horstmann	healthy	-1.5594451204783903	1.189390647371081
Horstmann	healthy	0.6450638383447396	1.9230614000798067
Horstmann	healthy	0.4303364637678856	0.4512463119026013
Horstmann	healthy	-0.028355033051598796	0.26162853643435163
Horstmann	healthy	0.7660868678280354	1.935574706543736
Horstmann	healthy	-3.9725026016682388	1.0926364668489266
Horstmann	healthy	1.4402803569346287	-1.4596344358136433
Horstmann	healthy	0.19789239898115815	1.9331066711332894
Horstmann	healthy	-2.5538626957567763	0.2897348695325213
Horstmann	healthy	1.493349593504475	2.9731799576464613
Horstmann	healthy	1.1002577714393627	1.4523512694776761
Horstmann	healthy	0.9230365104187128	1.3627220822616835
Horstmann	healthy	-1.0225125099007624	0.7952176044440806
Horstmann	healthy	-0.1425656214947415	2.2574469003037976
Horstmann	healthy	0.08668706925292943	0.8382197878788392
Horstmann	healthy	-2.3224760460885467	0.39032754297424815
Horstmann	healthy	1.0603225218073515	-0.3575628934141661
Horstmann	healthy	3.950932880227618	-0.26839620015194243
Horstmann	healthy	0.2743873623506149	-1.055415378950733
Horstmann	healthy	1.9253999780310116	0.2665929858588434
Horstmann	healthy	-1.733822111484361	0.7240256238831798
Horstmann	healthy	-0.04220242304091987	-0.1786282685729715
Horstmann	healthy	-0.29612233008679334	0.5451274695972601
Horstmann	healthy	-0.3969337479391384	1.8831811114076593
Horstmann	healthy	2.9718240647506975	-1.024806527427198
Horstmann	healthy	-0.41593490641544695	1.5338501905830515
Horstmann	healthy	-1.1913643736248793	0.03075712180093308
Horstmann	healthy	3.940117824808558	1.1274621603552772
Horstmann	healthy	0.1829056201377398	0.4598716187887361
Horstmann	healthy	2.3858700214759874	2.6498122806505173
Horstmann	healthy	-0.039843191170416264	2.1502806114668847
Horstmann	healthy	-0.3448446356356408	1.2573799369470808
Horstmann	healthy	-0.7419469367748257	1.8497212225152417
Horstmann	healthy	2.828450213531047	2.6747427160043835
Horstmann	healthy	-0.020205172487503004	0.2779486438259311
Horstmann	healthy	0.7729218104330534	1.078828769321911
Horstmann	healthy	-0.44139848611235943	1.3710931670087139
Horstmann	healthy	-0.8885752741831183	0.43174412396124806
Horstmann	healthy	0.8903413342393433	0.9383062615415013
Horstmann	healthy	1.0924349415733097	3.2679613112453767
Horstmann	healthy	-1.8587881423250348	3.533708841241744
Horstmann	healthy	-0.2227415663858362	0.6149406384675451
Horstmann	healthy	3.4490205630351296	2.277743016983406
Horstmann	healthy	-4.109640596253387	1.2539054159662861
Horstmann	healthy	0.6777258203651112	0.3848486721187954
Horstmann	healthy	-2.5828170244957116	1.0126833172428915
Horstmann	healthy	3.2844407509179905	-0.513230130640618
Horstmann	healthy	-0.8068687631601268	1.2755767998494776
Horstmann	healthy	0.8173696670303187	0.4835392378699593
Horstmann	healthy	1.9855511997023374	0.29051526781087467
Horstmann	healthy	-1.0050619462648331	1.1498879576683032
Horstmann	healthy	0.4265141144237288	1.031202713004747
Horstmann	healthy	0.7445337101519024	1.4636607874174181
Horstmann	healthy	-0.3893856379070795	1.282696462268935
Horstmann	healthy	0.17547363871641006	0.4810433674879492
Horstmann	healthy	-0.4479709523343591	0.8351585729880562
Horstmann	healthy	1.5920117895924237	1.8931780766293391
Horstmann	healthy	1.9667149231421248	-0.17422407979732904
Horstmann	healthy	-2.081628357918709	3.043488021033293
Horstmann	healthy	1.3080731563614292	1.1891644791490847
Horstmann	healthy	-0.051153825355232815	0.815630727269605
Horstmann	healthy	0.04081411812473209	2.036217309081575
Horstmann	healthy	1.4490954664508147	2.372976867120529
Horstmann	healthy	-0.7165835357693902	0.8454423092756217
Horstmann	healthy	1.9628678861814952	0.4551171166829232
Horstmann	healthy	2.0562303162639513	0.3778714603997439
Horstmann	healthy	0.004182933628233332	2.2193687309082195
Horstmann	healthy	-3.616726435423695	0.9243998265495033
Horstmann	healthy	-0.09011954589733787	0.9984746084545673
Horstmann	healthy	0.311093726543867	0.9871631959604875
Horstmann	healthy	-0.035501119347303045	0.302552092082314
Horstmann	healthy	0.6779601951323333	0.22853435793518392
Horstmann	healthy	-0.966150671117953	1.2556513108782061
Horstmann	healthy	-4.029892084882291	1.375885173010175
Horstmann	healthy	-1.288530797283858	2.985447221036236
Horstmann	healthy	0.8337950650013481	1.2227786207915028
Horstmann	healthy	1.451416171297202	1.5339835599448721
Horstmann	healthy	2.0231463046788507	-0.10006297121816381
Horstmann	healthy	1.559609225745177	-0.7516898863291437
Horstmann	healthy	-1.1940324024099587	1.3451448799265824
Horstmann	healthy	1.0471224052957642	0.7277278221526292
Horstmann	healthy	0.6861881215528962	2.4254810536402336
Horstmann	healthy	0.052217356334190335	0.24900741137825108
Horstmann	healthy	2.8983667006282485	-0.5589578507516728
